Country,Population,Normalised,Suicides,GDP,Continent
Dominica,66400,0.000000000,0,17820,North America
San Marino,78825,0.000050745,4,1931892,Europe
Saint Kitts and Nevis,117300,0.000000000,0,198900,Africa
Macau,346542,0.000077913,27,216972,Africa
Cabo Verde,452179,0.000092884,42,49488,Africa
Kiribati,741606,0.000071467,53,115620,Africa
Aruba,1259677,0.000080179,101,4069236,Oceania
Seychelles,1392816,0.000070361,98,2301636,Africa
Antigua and Barbuda,1990228,0.000005527,11,3385212,North America
Mongolia,2167589,0.000195148,423,41450,Asia
Grenada,2347286,0.000016189,38,1924916,North America
Saint Vincent and Grenadines,2437662,0.000050868,124,1486392,North America
Maldives,2900246,0.000006896,20,610668,Asia
Saint Lucia,3910520,0.000058816,230,1945116,North America
Montenegro,5834863,0.000080893,472,503472,Europe
Barbados,6213691,0.000028486,177,3675300,North America
Belize,6289015,0.000055335,348,1346172,North America
Bahamas,6557048,0.000014183,93,7130844,North America
Bosnia and Herzegovina,7327481,0.000043398,318,121860,Europe
Fiji,8187391,0.000037130,304,516552,Oceania
Iceland,8407904,0.000131781,1108,15002956,Europe
Oman,8987087,0.000003672,33,746664,Asia
Malta,11227403,0.000052105,585,5224524,Europe
Cyprus,11607462,0.000035494,412,4924944,Europe
Suriname,11639269,0.000186094,2166,1462260,South America
Luxembourg,12953156,0.000151160,1958,25593000,Europe
Guyana,16594589,0.000206453,3426,502476,South America
Bahrain,16753926,0.000027635,463,4545960,Asia
Qatar,21870545,0.000026245,574,12060648,Asia
Estonia,27090810,0.000259645,7034,2866776,Europe
Trinidad and Tobago,31243097,0.000129277,4039,2860608,North America
Nicaragua,31742633,0.000063416,2013,146076,North America
Mauritius,33411909,0.000116545,3894,2103544,Africa
United Arab Emirates,36502275,0.000017040,622,3035664,Asia
Jamaica,39481817,0.000004660,184,673452,North America
Slovenia,40268619,0.000263605,10615,4697844,Europe
Latvia,44852640,0.000284710,12770,2258196,Europe
Kuwait,57109991,0.000016915,966,8345700,Asia
Albania,62325467,0.000031608,1970,490788,Europe
Lithuania,68085210,0.000411822,28039,2431504,Europe
Panama,70265659,0.000049569,3483,1987956,North America
Armenia,77348173,0.000024629,1905,558428,Eurupe
Uruguay,84068943,0.000156276,13138,2561016,South America
Croatia,91730351,0.000200904,18429,2713238,Europe
Georgia,93598800,0.000034445,3224,499788,Europe
Singapore,94242441,0.000107054,10089,14154696,Asia
Costa Rica,102176788,0.000066473,6792,1853892,North America
New Zealand,103090430,0.000139518,14383,7753260,Oceania
Puerto Rico,105386625,0.000085808,9043,6827184,North America
Ireland,109023686,0.000115333,12574,12323112,Europe
Azerbaijan,111790300,0.000014813,1656,192984,Europe
Slovakia,111833713,0.000120152,13437,2778864,Europe
Denmark,112182219,0.000136359,15297,13015176,Europe
Kyrgyzstan,115174187,0.000113654,13090,224868,Asia
Turkmenistan,115576818,0.000074617,8624,911100,Asia
Paraguay,124641969,0.000038374,4783,766512,South America
El Salvador,124683698,0.000093701,11683,734592,North America
Serbia,126140138,0.000191684,24179,965796,Europe
Norway,127973087,0.000132778,16992,20635056,Europe
Finland,141925658,0.000237286,33677,12342960,Europe
Switzerland,149994010,0.000174787,26217,15871404,Europe
Israel,173071788,0.000065256,11294,8602668,Asia
Sri Lanka,182525626,0.000304839,55641,119364,Asia
Belarus,197372292,0.000303447,59892,840144,Europe
Bulgaria,231939958,0.000156885,36388,1310556,Europe
Austria,243853094,0.000205341,50073,13088000,Europe
Hungary,248644256,0.000297176,73891,2904716,Europe
Cuba,251790133,0.000164494,41418,1253136,North America
Sweden,253297131,0.000149212,37795,14806012,Europe
Portugal,261258816,0.000092096,24061,4593120,Europe
Czech Republic,264106540,0.000165414,43687,3982994,Europe
Belgium,303302621,0.000206925,62761,11928828,Europe
Guatemala,305357837,0.000026687,8149,814872,North America
Greece,316096105,0.000039127,12368,6331212,Europe
Ecuador,344327990,0.000060001,20660,1222488,South America
Kazakhstan,377513869,0.000268986,101546,1662684,Asia
Chile,427625092,0.000095633,40895,2787420,South America
Netherlands,475361269,0.000106936,50833,13643004,Europe
Turkey,482640582,0.000020991,10131,1019280,Asia
Uzbekistan,486422532,0.000071549,34803,257712,Asia
Australia,542377786,0.000129266,70111,11799504,Oceania
Romania,575065963,0.000126554,72777,1600344,Europe
Canada,826052183,0.000130211,107561,10748844,North America
Poland,866180029,0.000160588,139098,2346180,Europe
South Africa,873130762,0.000008385,7321,1341480,Africa
Argentina,1035985431,0.000079363,82219,2944044,South America
Philippines,1065068179,0.000020027,21330,277236,Asia
Colombia,1107941966,0.000047909,53080,1379736,South America
Spain,1227661095,0.000081620,100202,7805364,Europe
Ukraine,1286469184,0.000248704,319950,627492,Europe
Republic of Korea,1354944936,0.000193167,261730,5506068,Asia
Thailand,1584800281,0.000069815,110643,1193102,Asia
France,1670756775,0.000196993,329127,11333328,Europe
Italy,1715043704,0.000077001,132060,9896160,Europe
United Kingdom,1738767780,0.000078679,136805,11869908,Europe
Germany,2024875612,0.000143842,291262,10971240,Europe
Mexico,2772959159,0.000040080,111139,2655504,North America
Japan,3681024844,0.000219206,806902,13539888,Asia
Russian Federation,3690802620,0.000327772,1209742,2112096,Europe
Brazil,4856093548,0.000046666,226613,2266032,South America
United States,8054027201,0.000128385,1034013,14608296,North America
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
