id,name,parent,size
1,Animals,,
2,Actinopteri,1,
3,Acipenseriformes,2,
4,Polyodontidae,3,
5,polyodon,4,
6,Polyodon_spathula,5,8
7,Syngnathiformes,2,
8,Syngnathidae,7,
9,Hippocampus,8,
10,Hippocampus_abdominalis,9,7
11,Hippocampus_algiricus,9,1
12,Hippocampus_barbouri,9,7
13,Hippocampus_breviceps,9,1
14,Hippocampus_comes,9,8
15,Hippocampus_erectus,9,5
16,Hippocampus_histrix,9,2
17,Hippocampus_kelloggi,9,3
18,Hippocampus_kuda,9,27
19,Hippocampus_reidi,9,13
20,Hippocampus_semispinosus,9,4
21,Hippocampus_spinosissimus,9,4
22,Hippocampus_spp.,9,3
23,Hippocampus_subelongatus,9,3
24,Hippocampus_trimaculatus,9,2
25,Hippocampus_whitei,9,2
26,Hippocampus_zosterae,9,1
27,Amphibia,1,
28,Anura,27,
29,Calyptocephalellidae,28,
30,Calyptocephalella,29,
31,Calyptocephalella_gayi,30,1
32,Mantellidae,28,
33,Mantella,32,
34,Mantella_aurantiaca,33,12
35,Mantella_baroni,33,6
36,Mantella_betsileo,33,11
37,Mantella_cowanii,33,1
38,Mantella_crocea,33,2
39,Mantella_laevigata,33,4
40,Mantella_madagascariensis,33,8
41,Mantella_manery,33,1
42,Mantella_milotympanum,33,2
43,Mantella_nigricans,33,9
44,Mantella_pulchra,33,1
45,Mantella_spp.,33,2
46,Mantella_viridis,33,1
47,Anthozoa,1,
48,Antipatharia,47,
49,Myriopathidae,48,
50,Cupressopathes,49,
51,Cupressopathes_spp.,50,1
52,Tanacetipathes,49,
53,Tanacetipathes_barbadensis,52,1
54,Tanacetipathes_hirta,52,1
55,Tanacetipathes_tanacetum,52,1
56,Tanacetipathes_thamnea,52,1
57,Schizopathidae,48,
58,Parantipathes,57,
59,Parantipathes_spp.,58,1
60,Gorgonacea,47,
61,Coralliidae,60,
62,Corallium,61,
63,Corallium_elatius,62,51
64,Corallium_japonicum,62,13
65,Corallium_konjoi,62,8
66,Corallium_secundum,62,24
67,Scleractinia,47,
68,Meandriniidae,67,
69,Dendrogyra,68,
70,Dendrogyra_cylindrus,69,1
71,Dichocoenia,68,
72,Dichocoenia_stokesii,71,1
73,Meandrina,68,
74,Meandrina_maeandrites,73,2
75,Merulinidae,67,
76,Hydnophora,75,
77,Hydnophora_bonsai,76,1
78,Hydnophora_exesa,76,58
79,Hydnophora_microconos,76,40
80,Hydnophora_rigida,76,29
81,Hydnophora_spp.,76,68
82,Merulina,75,
83,Merulina_ampliata,82,107
84,Merulina_scabricula,82,5
85,Merulina_spp.,82,2
86,Mussidae,67,
87,Acanthastrea,86,
88,Acanthastrea_amakusensis,87,7
89,Acanthastrea_bowerbanki,87,14
90,Acanthastrea_echinata,87,8
91,Acanthastrea_hemprichii,87,2
92,Acanthastrea_hillae,87,9
93,Acanthastrea_lordhowensis,87,22
94,Acanthastrea_maxima,87,4
95,Acanthastrea_rotundoflora,87,1
96,Acanthastrea_spp.,87,124
97,Acanthophyllia,86,
98,Acanthophyllia_deshayesiana,97,44
99,Acanthophyllia_spp.,97,1
100,Australomussa,86,
101,Australomussa_rowleyensis,100,32
102,Australomussa_spp.,100,1
103,Blastomussa,86,
104,Blastomussa_merleti,103,30
105,Blastomussa_spp.,103,12
106,Blastomussa_wellsi,103,98
107,Cynarina,86,
108,Cynarina_lacrymalis,107,69
109,Cynarina_spp.,107,4
110,Lobophyllia,86,
111,Lobophyllia_corymbosa,110,55
112,Lobophyllia_diminuta,110,1
113,Lobophyllia_hataii,110,1
114,Lobophyllia_hemprichii,110,18
115,Lobophyllia_robusta,110,3
116,Lobophyllia_spp.,110,167
117,Micromussa,86,
118,Micromussa_spp.,117,2
119,Mussismilia,86,
120,Mussismilia_braziliensis,119,1
121,Mycetophyllia,86,
122,Mycetophyllia_aliciae,121,2
123,Scolymia,86,
124,Scolymia_australis,123,34
125,Scolymia_cubensis,123,1
126,Scolymia_lacera,123,1
127,Scolymia_spp.,123,49
128,Scolymia_vitiensis,123,40
129,Symphyllia,86,
130,Symphyllia_agaricia,129,5
131,Symphyllia_radians,129,2
132,Symphyllia_recta,129,2
133,Symphyllia_spp.,129,117
134,Symphyllia_valenciennesii,129,2
135,Symphyllia_wilsoni,129,7
136,Oculinidae,67,
137,Acrhelia,136,
138,Acrhelia_horrescens,137,3
139,Galaxea,136,
140,Galaxea_acrhelia,139,1
141,Galaxea_astreata,139,48
142,Galaxea_fascicularis,139,67
143,Galaxea_spp.,139,63
144,Madrepora,136,
145,Madrepora_oculata,144,1
146,Madrepora_spp.,144,1
147,Pectiniidae,67,
148,Echinophyllia,147,
149,Echinophyllia_aspera,148,11
150,Echinophyllia_echinata,148,3
151,Echinophyllia_echinoporoides,148,1
152,Echinophyllia_nishihirai,148,3
153,Echinophyllia_spp.,148,133
154,Mycedium,147,
155,Mycedium_elephantotus,154,55
156,Mycedium_robokaki,154,26
157,Mycedium_spina,154,1
158,Mycedium_spp.,154,56
159,Oxypora,147,
160,Oxypora_convoluta,159,1
161,Oxypora_glabra,159,1
162,Oxypora_spp.,159,60
163,Pectinia,147,
164,Pectinia_africanus,163,1
165,Pectinia_alcicornis,163,1
166,Pectinia_lactuca,163,3
167,Pectinia_paeonia,163,2
168,Pectinia_spp.,163,93
169,Pocilloporidae,67,
170,Madracis,169,
171,Madracis_asanoi,170,1
172,Madracis_decactis,170,2
173,Madracis_myriaster,170,1
174,Madracis_pharensis,170,1
175,Madracis_spp.,170,1
176,Pocillopora,169,
177,Pocillopora_damicornis,176,17
178,Pocillopora_eydouxi,176,8
179,Pocillopora_meandrina,176,13
180,Pocillopora_spp.,176,106
181,Pocillopora_verrucosa,176,7
182,Seriatopora,169,
183,Seriatopora_aculeata,182,1
184,Seriatopora_caliendrum,182,5
185,Seriatopora_hystrix,182,46
186,Seriatopora_spp.,182,73
187,Stylophora,169,
188,Stylophora_pistillata,187,26
189,Stylophora_spp.,187,94
190,Stylophora_subseriata,187,1
191,Poritidae,67,
192,Alveopora,191,
193,Alveopora_gigas,192,11
194,Alveopora_spongiosa,192,7
195,Alveopora_spp.,192,81
196,Goniopora,191,
197,Goniopora_albiconus,196,2
198,Goniopora_columna,196,1
199,Goniopora_lobata,196,68
200,Goniopora_minor,196,3
201,Goniopora_norfolkensis,196,1
202,Goniopora_somaliensis,196,1
203,Goniopora_spp.,196,189
204,Goniopora_stokesi,196,73
205,Goniopora_stutchburyi,196,2
206,Goniopora_tenuidens,196,3
207,Porites,191,
208,Porites_annae,207,1
209,Porites_astreoides,207,9
210,Porites_branneri,207,1
211,Porites_cylindrica,207,6
212,Porites_lobata,207,10
213,Porites_lutea,207,7
214,Porites_porites,207,5
215,Porites_rus,207,2
216,Porites_spp.,207,145
217,Rhizangiidae,67,
218,Astrangia,217,
219,Astrangia_poculata,218,2
220,Siderastreidae,67,
221,Coscinaraea,220,
222,Coscinaraea_spp.,221,1
223,Psammocora,220,
224,Psammocora_spp.,223,3
225,Psammocora_superficialis,223,1
226,Siderastrea,220,
227,Siderastrea_radians,226,1
228,Siderastrea_siderea,226,3
229,Siderastrea_spp.,226,1
230,Trachyphylliidae,67,
231,Trachyphyllia,230,
232,Trachyphyllia_geoffroyi,231,107
233,Trachyphyllia_spp.,231,3
234,Stolonifera,47,
235,Tubiporidae,234,
236,Tubipora,235,
237,Tubipora_musica,236,116
238,Tubipora_spp.,236,3
239,Arachnida,1,
240,Araneae,239,
241,Theraphosidae,240,
242,Aphonopelma,241,
243,Aphonopelma_albiceps,242,2
244,Brachypelma,241,
245,Brachypelma_albopilosum,244,13
246,Brachypelma_annitha,244,4
247,Brachypelma_auratum,244,4
248,Brachypelma_baumgarteni,244,2
249,Brachypelma_boehmei,244,7
250,Brachypelma_emilia,244,7
251,Brachypelma_kahlenbergi,244,2
252,Brachypelma_klaasi,244,1
253,Brachypelma_smithi,244,15
254,Brachypelma_spp.,244,1
255,Brachypelma_vagans,244,4
256,Brachypelma_verdezi,244,1
257,Scorpiones,239,
258,Scorpionidae,257,
259,Pandinus,258,
260,Pandinus_dictator,259,1
261,Aves,1,
262,Anseriformes,261,
263,Anatidae,262,
264,Cairina,263,
265,Cairina_moschata,264,22
266,Apodiformes,261,
267,Trochilidae,266,
268,Amazilia,267,
269,Amazilia_cyanocephala,268,2
270,Amazilia_fimbriata,268,1
271,Amazilia_viridigaster,268,1
272,Amazilia_yucatanensis,268,1
273,Anthracothorax,267,
274,Anthracothorax_veraguensis,273,1
275,Archilochus,267,
276,Archilochus_colubris,275,2
277,Basilinna,267,
278,Basilinna_leucotis,277,1
279,Calliphlox,267,
280,Calliphlox_bryantae,279,1
281,Campylopterus,267,
282,Campylopterus_hemileucurus,281,1
283,Campylopterus_largipennis,281,1
284,Chlorostilbon,267,
285,Chlorostilbon_lucidus,284,1
286,Colibri,267,
287,Colibri_coruscans,286,1
288,Colibri_thalassinus,286,3
289,Eugenes,267,
290,Eugenes_fulgens,289,2
291,Florisuga,267,
292,Florisuga_fusca,291,1
293,Florisuga_mellivora,291,1
294,Heliothryx,267,