Federal_Electoral_Division,Total_Eligible_Participants,Total_Clear_Responses,Total_Responses_of_No,Total_Responses_of_Yes
Adelaide,110234,89540,26771,62769
Aston,96083,78185,29730,48455
Ballarat,114274,93018,27405,65613
Banks,105254,84079,46343,37736
Barker,105865,81325,38827,42498
Barton,109371,85137,47984,37153
Bass,74391,58759,22510,36249
Batman,111477,93289,26906,66383
Bendigo,111957,92264,28852,63412
Bennelong,106375,86158,43215,42943
Berowra,105090,88840,40369,48471
Blair,102858,78627,31433,47194
Blaxland,104435,78332,57926,20406
Bonner,102220,84030,31891,52139
Boothby,107848,90695,28556,62139
Bowman,106067,86156,32627,53529
Braddon,73413,55627,25573,30054
Bradfield,106071,88608,34927,53681
Brand,102094,77434,25481,51953
Brisbane,112389,91574,18762,72812
Bruce,95365,73847,39203,34644
Burt,101699,77333,33275,44058
Calare,115497,89870,35779,54091
Calwell,111581,87662,49823,37839
Canberra,145631,120951,31361,89590
Canning,102876,80505,32019,48486
Capricornia,98960,73834,33917,39917
Casey,105226,88103,28144,59959
Chifley,108016,79573,46702,32871
Chisholm,97751,80292,30844,49448
Cook,105251,86309,38804,47505
Corangamite,114880,97431,27708,69723
Corio,111137,92523,29865,62658
Cowan,96977,75463,31075,44388
Cowper,121322,95810,38317,57493
Cunningham,113621,92746,31840,60906
Curtin,98465,82581,22943,59638
Dawson,104286,77138,34599,42539
Deakin,100102,84437,28973,55464
Denison,74256,60997,15992,45005
Dickson,101911,83194,28988,54206
Dobell,114992,90462,30987,59475
Dunkley,106918,87311,24471,62840
Durack,98054,66432,27128,39304
Eden-Monaro,110537,88149,30926,57223
Fadden,110821,84372,32218,52154
Fairfax,112573,90961,32451,58510
Farrer,113675,87729,39297,48432
Fenner,142477,116028,30159,85869
Fisher,102689,82806,30783,52023
Flinders,119309,97566,29275,68291
Flynn,100594,75803,36783,39020
Forde,102176,77522,30585,46937
Forrest,102874,80897,29285,51612
Fowler,106108,76629,48782,27847
Franklin,78836,65068,20322,44746
Fremantle,102214,82100,24559,57541
Gellibrand,111159,91110,29065,62045
Gilmore,119120,95708,36386,59322
Gippsland,105814,85106,33910,51196
Goldstein,106484,91389,21663,69726
Gorton,121247,93421,43587,49834
Grayndler,107847,91637,18429,73208
Greenway,107466,81996,43980,38016
Grey,102148,76561,35750,40811
Griffith,110620,90303,21132,69171
Groom,103430,82451,41915,40536
Hasluck,96516,76716,28836,47880
Herbert,106423,76551,28441,48110
Higgins,106229,89434,19375,70059
Hindmarsh,112381,91560,33613,57947
Hinkler,102930,80197,39548,40649
Holt,121571,93022,45875,47147
Hotham,100545,80510,32524,47986
Hughes,105118,87895,36558,51337
Hume,111225,87555,36271,51284
Hunter,117364,91860,32723,59137
Indi,105746,86488,31925,54563
Isaacs,107675,86708,30063,56645
Jagajaga,104169,88551,23453,65098
Kennedy,101001,70944,37784,33160
Kingsford Smith,110431,87807,31510,56297
Kingston,107446,86430,27567,58863
Kooyong,100699,86321,22729,63592
La Trobe,110903,91633,29826,61807
Lalor,130963,100491,43429,57062
Leichhardt,111436,75356,27606,47750
Lilley,109129,88662,28671,59991
Lindsay,114555,87366,38295,49071
Lingiari,69884,34924,15898,19026
Longman,109352,84844,33576,51268
Lyne,114697,92955,41539,51416
Lyons,78532,61152,25258,35894
Macarthur,110729,83230,39907,43323
Mackellar,109388,91680,29330,62350
Macquarie,106683,87958,31778,56180
Makin,107523,85290,33743,51547
Mallee,99856,78290,35795,42495
Maranoa,103688,80783,45308,35475
Maribyrnong,112988,88866,35658,53208
Mayo,106108,88608,31247,57361
McEwen,140055,112712,39007,73705
McMahon,107076,83113,53967,29146
McMillan,120754,97979,36500,61479
McPherson,105963,82520,28486,54034
Melbourne,117462,97126,15839,81287
Melbourne Ports,105055,86112,15523,70589
Menzies,98766,82763,35626,47137
Mitchell,105376,85764,43652,42112
Moncrieff,104729,79283,28717,50566
Moore,100491,83380,26690,56690
Moreton,98071,77831,30413,47418
Murray,105574,83657,35452,48205
New England,110769,84932,40324,44608
Newcastle,115359,95157,23999,71158
North Sydney,108017,90286,25473,64813
O'Connor,102700,77541,33987,43554
Oxley,97592,74020,29365,44655
Page,119606,93670,37727,55943
Parkes,108534,78516,37108,41408
Parramatta,102291,76337,47038,29299
Paterson,117517,92974,32059,60915
Pearce,111614,85004,30699,54305
Perth,100133,80477,22967,57510
Petrie,109734,86211,33067,53144
Port Adelaide,115047,87518,33869,53649
Rankin,102547,76191,34621,41570
Reid,106617,82628,39061,43567
Richmond,115209,92216,29625,62591
Riverina,112538,86641,39308,47333
Robertson,109965,89303,30614,58689
Ryan,105803,89418,24451,64967
Scullin,113566,90392,42147,48245
Shortland,112221,92291,29836,62455
Solomon,68217,45452,15792,29660
Stirling,98820,77285,30060,47225
Sturt,104625,84963,32655,52308
Swan,97965,75923,26830,49093
Sydney,113243,91004,14860,76144
Tangney,93528,78428,30090,48338
Wakefield,114355,86285,33649,52636
Wannon,99781,80869,31529,49340
Warringah,103461,86659,21660,64999
Watson,106914,82075,57160,24915
Wentworth,103972,85689,16410,69279
Werriwa,112977,83426,53174,30252
Whitlam,115781,92441,34879,57562
Wide Bay,105536,83572,37065,46507
Wills,118268,97849,29399,68450
Wright,105345,82921,35812,47109
Grand Total,106707.8667,84608.22667,32493.24667,52114.98
