Year,City,Price,lat,lon
2004,Sydney,509000,-33.865143,151.2099
2004,Melbourne,308875,-37.840935,144.946457
2004,Brisbane,305675,-27.470125,153.021072
2004,Adelaide,259625,-34.92123,138.599503
2004,Perth,264000,-31.953512,115.857048
2004,Hobart,223075,-42.880554,147.324997
2004,Darwin,248075,-12.462827,130.841782
2004,Canberra,368625,-35.282001,149.128998
2005,Sydney,494000,-33.865143,151.2099
2005,Melbourne,320500,-37.840935,144.946457
2005,Brisbane,314725,-27.470125,153.021072
2005,Adelaide,274000,-34.92123,138.599503
2005,Perth,311250,-31.953512,115.857048
2005,Hobart,246875,-42.880554,147.324997
2005,Darwin,292500,-12.462827,130.841782
2005,Canberra,375050,-35.282001,149.128998
2006,Sydney,486750,-33.865143,151.2099
2006,Melbourne,345250,-37.840935,144.946457
2006,Brisbane,333375,-27.470125,153.021072
2006,Adelaide,289000,-34.92123,138.599503
2006,Perth,426250,-31.953512,115.857048
2006,Hobart,269500,-42.880554,147.324997
2006,Darwin,357750,-12.462827,130.841782
2006,Canberra,404575,-35.282001,149.128998
2007,Sydney,511575,-33.865143,151.2099
2007,Melbourne,371750,-37.840935,144.946457
2007,Brisbane,383000,-27.470125,153.021072
2007,Adelaide,328250,-34.92123,138.599503
2007,Perth,473750,-31.953512,115.857048
2007,Hobart,291625,-42.880554,147.324997
2007,Darwin,400750,-12.462827,130.841782
2007,Canberra,450750,-35.282001,149.128998
2008,Sydney,490500,-33.865143,151.2099
2008,Melbourne,388750,-37.840935,144.946457
2008,Brisbane,414750,-27.470125,153.021072
2008,Adelaide,360000,-34.92123,138.599503
2008,Perth,447500,-31.953512,115.857048
2008,Hobart,301500,-42.880554,147.324997
2008,Darwin,429325,-12.462827,130.841782
2008,Canberra,460250,-35.282001,149.128998
2009,Sydney,508250,-33.865143,151.2099
2009,Melbourne,418625,-37.840935,144.946457
2009,Brisbane,426250,-27.470125,153.021072
2009,Adelaide,371325,-34.92123,138.599503
2009,Perth,468000,-31.953512,115.857048
2009,Hobart,316650,-42.880554,147.324997
2009,Darwin,482500,-12.462827,130.841782
2009,Canberra,469875,-35.282001,149.128998
2010,Sydney,603375,-33.865143,151.2099
2010,Melbourne,494075,-37.840935,144.946457
2010,Brisbane,461250,-27.470125,153.021072
2010,Adelaide,405500,-34.92123,138.599503
2010,Perth,507000,-31.953512,115.857048
2010,Hobart,344825,-42.880554,147.324997
2010,Darwin,534750,-12.462827,130.841782
2010,Canberra,527675,-35.282001,149.128998
2011,Sydney,566750,-33.865143,151.2099
2011,Melbourne,492375,-37.840935,144.946457
2011,Brisbane,438750,-27.470125,153.021072
2011,Adelaide,392500,-34.92123,138.599503
2011,Perth,483750,-31.953512,115.857048
2011,Hobart,335125,-42.880554,147.324997
2011,Darwin,505500,-12.462827,130.841782
2011,Canberra,513250,-35.282001,149.128998
2012,Sydney,608125,-33.865143,151.2099
2012,Melbourne,487750,-37.840935,144.946457
2012,Brisbane,435000,-27.470125,153.021072
2012,Adelaide,387000,-34.92123,138.599503
2012,Perth,498375,-31.953512,115.857048
2012,Hobart,329200,-42.880554,147.324997
2012,Darwin,542375,-12.462827,130.841782
2012,Canberra,501000,-35.282001,149.128998
2013,Sydney,670000,-33.865143,151.2099
2013,Melbourne,516750,-37.840935,144.946457
2013,Brisbane,449750,-27.470125,153.021072
2013,Adelaide,399250,-34.92123,138.599503
2013,Perth,530250,-31.953512,115.857048
2013,Hobart,336250,-42.880554,147.324997
2013,Darwin,554750,-12.462827,130.841782
2013,Canberra,505825,-35.282001,149.128998
2014,Sydney,738500,-33.865143,151.2099
2014,Melbourne,522600,-37.840935,144.946457
2014,Brisbane,456250,-27.470125,153.021072
2014,Adelaide,411750,-34.92123,138.599503
2014,Perth,529125,-31.953512,115.857048
2014,Hobart,350375,-42.880554,147.324997
2014,Darwin,575875,-12.462827,130.841782
2014,Canberra,556925,-35.282001,149.128998
2015,Sydney,863925,-33.865143,151.2099
2015,Melbourne,569575,-37.840935,144.946457
2015,Brisbane,473200,-27.470125,153.021072
2015,Adelaide,424750,-34.92123,138.599503
2015,Perth,529625,-31.953512,115.857048
2015,Hobart,355000,-42.880554,147.324997
2015,Darwin,580000,-12.462827,130.841782
2015,Canberra,591875,-35.282001,149.128998
2016,Sydney,907625,-33.865143,151.2099
2016,Melbourne,614500,-37.840935,144.946457
2016,Brisbane,498375,-27.470125,153.021072
2016,Adelaide,442000,-34.92123,138.599503
2016,Perth,518250,-31.953512,115.857048
2016,Hobart,371750,-42.880554,147.324997
2016,Darwin,540000,-12.462827,130.841782
2016,Canberra,616200,-35.282001,149.128998
2017,Sydney,989750,-33.865143,151.2099
2017,Melbourne,704875,-37.840935,144.946457
2017,Brisbane,522000,-27.470125,153.021072
2017,Adelaide,455575,-34.92123,138.599503
2017,Perth,507750,-31.953512,115.857048
2017,Hobart,401375,-42.880554,147.324997
2017,Darwin,510950,-12.462827,130.841782
2017,Canberra,670500,-35.282001,149.128998
2018,Sydney,954525,-33.865143,151.2099
2018,Melbourne,734000,-37.840935,144.946457
2018,Brisbane,534500,-27.470125,153.021072
2018,Adelaide,469825,-34.92123,138.599503
2018,Perth,498500,-31.953512,115.857048
2018,Hobart,453025,-42.880554,147.324997
2018,Darwin,504000,-12.462827,130.841782
2018,Canberra,702125,-35.282001,149.128998
2019,Sydney,912875,-33.865143,151.2099
2019,Melbourne,712625,-37.840935,144.946457
2019,Brisbane,540250,-27.470125,153.021072
2019,Adelaide,478125,-34.92123,138.599503
2019,Perth,485750,-31.953512,115.857048
2019,Hobart,490000,-42.880554,147.324997
2019,Darwin,478500,-12.462827,130.841782
2019,Canberra,706825,-35.282001,149.128998
2020,Sydney,971000,-33.865143,151.2099
2020,Melbourne,736250,-37.840935,144.946457
2020,Brisbane,555250,-27.470125,153.021072
2020,Adelaide,495075,-34.92123,138.599503
2020,Perth,493200,-31.953512,115.857048
2020,Hobart,536125,-42.880554,147.324997
2020,Darwin,491000,-12.462827,130.841782
2020,Canberra,749625,-35.282001,149.128998
2021,Sydney,1128750,-33.865143,151.2099
2021,Melbourne,872500,-37.840935,144.946457
2021,Brisbane,630000,-27.470125,153.021072
2021,Adelaide,542500,-34.92123,138.599503
2021,Perth,542500,-31.953512,115.857048
2021,Hobart,622500,-42.880554,147.324997
2021,Darwin,555000,-12.462827,130.841782
2021,Canberra,875000,-35.282001,149.128998
