Year,Suburb,avg_price
2016,ABBOTSFORD,1026355.96
2016,ABERFELDIE,1303789.8
2016,AIRPORT WEST,669510.42
2016,ALBERT PARK,1891318.88
2016,ALBION,580233.33
2016,ALPHINGTON,1445058.87
2016,ALTONA,780480.49
2016,ALTONA NORTH,732546.18
2016,ARMADALE,1671969.56
2016,ASCOT VALE,1017441.46
2016,ASHBURTON,1579997.67
2016,ASHWOOD,1116916.91
2016,AVONDALE HEIGHTS,818900.06
2016,BALACLAVA,769439.45
2016,BALWYN,1879148.1
2016,BALWYN NORTH,1755261.95
2016,BELLFIELD,772227.83
2016,BENTLEIGH,1254686.52
2016,BENTLEIGH EAST,1043994.82
2016,BOX HILL,1300263.9
2016,BRAYBROOK,652229.16
2016,BRIGHTON,1933237.13
2016,BRIGHTON EAST,1657447.39
2016,BROOKLYN,589914.67
2016,BRUNSWICK,926619.09
2016,BRUNSWICK EAST,939656.47
2016,BRUNSWICK WEST,784736.62
2016,BULLEEN,1154404.81
2016,BURNLEY,1079877.5
2016,BURWOOD,1192325.23
2016,CAMBERWELL,1876607.62
2016,CANTERBURY,2262146.12
2016,CARLTON,1016115.32
2016,CARLTON NORTH,1397548.79
2016,CARNEGIE,886441.37
2016,CAULFIELD,993968.67
2016,CAULFIELD EAST,1073333.33
2016,CAULFIELD NORTH,1038627.42
2016,CAULFIELD SOUTH,1179099.8
2016,CHADSTONE,1016597.75
2016,CLIFTON HILL,1160903.45
2016,COBURG,877033.07
2016,COBURG NORTH,768988.07
2016,COLLINGWOOD,898499.45
2016,CREMORNE,1018664.12
2016,DOCKLANDS,1033333.33
2016,DONCASTER,1181251.44
2016,EAGLEMONT,1672535.88
2016,EAST MELBOURNE,1254916.67
2016,ELSTERNWICK,1344140.39
2016,ELWOOD,1004139.73
2016,ESSENDON,1025716.44
2016,ESSENDON NORTH,806912.55
2016,ESSENDON WEST,984796
2016,FAIRFIELD,1044833.59
2016,FAWKNER,606041.1
2016,FITZROY,1242214.38
2016,FITZROY NORTH,1272113.49
2016,FLEMINGTON,782927.32
2016,FOOTSCRAY,678940.15
2016,GARDENVALE,907000
2016,GLEN HUNTLY,757460
2016,GLEN IRIS,1642485.86
2016,GLENROY,602263.55
2016,GOWANBRAE,627820.63
2016,HADFIELD,646054.94
2016,HAMPTON,1594185.03
2016,HAMPTON EAST,1085126.34
2016,HAWTHORN,1380146.7
2016,HAWTHORN EAST,1486644.31
2016,HEIDELBERG,930799.73
2016,HEIDELBERG HEIGHTS,712513.81
2016,HEIDELBERG WEST,625436.78
2016,HUGHESDALE,1077271.72
2016,IVANHOE,1070592.54
2016,IVANHOE EAST,1771897.75
2016,JACANA,451953.33
2016,KEALBA,562597.9
2016,KEILOR EAST,749446.48
2016,KEILOR PARK,595233.33
2016,KENSINGTON,811830.78
2016,KEW,1865260.26
2016,KEW EAST,1617899.46
2016,KINGSBURY,694717.18
2016,KINGSVILLE,848860.77
2016,KOOYONG,1395055.67
2016,MAIDSTONE,713246.38
2016,MALVERN,1946438.82
2016,MALVERN EAST,1473399.93
2016,MARIBYRNONG,752704.19
2016,MELBOURNE,668369.38
2016,MIDDLE PARK,2213983
2016,MONT ALBERT,1415616.6
2016,MOONEE PONDS,1061114.48
2016,MOORABBIN,938432.64
2016,MURRUMBEENA,1027784.56
2016,NEWPORT,968462.75
2016,NIDDRIE,886712.85
2016,NORTH MELBOURNE,842252.97
2016,NORTHCOTE,1250487.4
2016,OAK PARK,748542.05
2016,OAKLEIGH,951468.79
2016,OAKLEIGH SOUTH,926915.58
2016,ORMOND,1149007.7
2016,PARKVILLE,1217045.46
2016,PASCOE VALE,714014.57
2016,PORT MELBOURNE,1187140.9
2016,PRAHRAN,1113442.11
2016,PRESTON,839862.17
2016,PRINCES HILL,1777333.33
2016,RESERVOIR,635887.58
2016,RICHMOND,1078110.84
2016,RIPPONLEA,744000
2016,ROSANNA,917460.42
2016,SEAHOLME,1040000
2016,SEDDON,968958.66
2016,SOUTH KINGSVILLE,717980.94
2016,SOUTH MELBOURNE,1248175.7
2016,SOUTH YARRA,1061441.6
2016,SOUTHBANK,650881.97
2016,SPOTSWOOD,956770
2016,ST KILDA,824948.7
2016,STRATHMORE,1162638.25
2016,STRATHMORE HEIGHTS,855249.88
2016,SUNSHINE,661067.03
2016,SUNSHINE NORTH,629859.5
2016,SUNSHINE WEST,541056.21
2016,SURREY HILLS,1564319.86
2016,TEMPLESTOWE LOWER,1103770.2
2016,THORNBURY,899914.33
2016,TOORAK,1853554.25
2016,TRAVANCORE,1000541.7
2016,VIEWBANK,895443.59
2016,WATSONIA,704478.22
2016,WEST FOOTSCRAY,757850.61
2016,WEST MELBOURNE,927340.13
2016,WILLIAMSTOWN,1254356.72
2016,WILLIAMSTOWN NORTH,842708.33
2016,WINDSOR,999555.78
2016,YALLAMBIE,760558.73
2016,YARRAVILLE,951751.54
2017,ABBOTSFORD,1093339.57
2017,ABERFELDIE,1278959.74
2017,AIRPORT WEST,757060
2017,ALBANVALE,532416.78
2017,ALBERT PARK,2098837.28
2017,ALBION,639971.34
2017,ALPHINGTON,1378904.03
2017,ALTONA,882495.72
2017,ALTONA MEADOWS,683337.09
2017,ALTONA NORTH,823565.42
2017,ARDEER,651750
2017,ARMADALE,1627785.79
2017,ASCOT VALE,1106911.4
2017,ASHBURTON,1707584.45
2017,ASHWOOD,1173198.67
2017,ASPENDALE,1211981.7
2017,ASPENDALE GARDENS,835000
2017,ATTWOOD,640000
2017,AVONDALE HEIGHTS,849146.8
2017,BALACLAVA,747007.05
2017,BALWYN,1859694.93
2017,BALWYN NORTH,1789041.08
2017,BAYSWATER,720075.04
2017,BAYSWATER NORTH,730812.86
2017,BEACONSFIELD,581333.33
2017,BEACONSFIELD UPPER,675000
2017,BEAUMARIS,1691395.12
2017,BELLFIELD,835921.13
2017,BENTLEIGH,1306222.08
2017,BENTLEIGH EAST,1187101.39
2017,BERWICK,789214.29
2017,BLACK ROCK,1344441.55
2017,BLACKBURN,1325028.12
2017,BLACKBURN NORTH,1121931.62
2017,BLACKBURN SOUTH,1087250.67
2017,BONBEACH,1078200
2017,BORONIA,763144.83
2017,BOX HILL,1281972.46
2017,BRAYBROOK,679995.61
2017,BRIAR HILL,743075
2017,BRIGHTON,2057177.29
2017,BRIGHTON EAST,1607636.65
2017,BROADMEADOWS,538847.19
2017,BROOKFIELD,456000
2017,BROOKLYN,634760.62
2017,BRUNSWICK,1009928.15
2017,BRUNSWICK EAST,858248.31
2017,BRUNSWICK WEST,819051.64
2017,BULLEEN,1167096.04
2017,BUNDOORA,806300.23
2017,BURNLEY,1022500
2017,BURNSIDE,618750
2017,BURNSIDE HEIGHTS,575050
2017,BURWOOD,1251619.04
2017,BURWOOD EAST,1080598.75
2017,CAIRNLEA,676824.27
2017,CAMBERWELL,1946662.55
2017,CAMPBELLFIELD,650000
2017,CANTERBURY,2452543.13
2017,CARLTON,1035741
2017,CARLTON NORTH,1491403.11
2017,CARNEGIE,949317.27
2017,CAROLINE SPRINGS,631880.31
2017,CARRUM,723195.27
2017,CARRUM DOWNS,545879.06
2017,CAULFIELD,543119.27
2017,CAULFIELD EAST,889955.6
2017,CAULFIELD NORTH,1047320.77
2017,CAULFIELD SOUTH,1259521.23
2017,CHADSTONE,989654.84
2017,CHELSEA,802762
2017,CHELSEA HEIGHTS,749625
2017,CHELTENHAM,999876.01
2017,CHIRNSIDE PARK,911982
2017,CLARINDA,891144.44
2017,CLAYTON,1184556.96
2017,CLAYTON SOUTH,839935.89
2017,CLIFTON HILL,1243962.9
2017,COBURG,939745.01
2017,COBURG NORTH,792482.46
2017,COLLINGWOOD,905950.67
2017,COOLAROO,440500
2017,CRAIGIEBURN,554918.05
2017,CRANBOURNE,576401.6
2017,CRANBOURNE NORTH,585000
2017,CREMORNE,995329.5
2017,CROYDON,882235.69
2017,CROYDON HILLS,904736.11
2017,CROYDON NORTH,801125
2017,CROYDON SOUTH,910000
2017,DALLAS,439285.75
2017,DANDENONG,583887.83
2017,DANDENONG NORTH,630866.35
2017,DEEPDENE,1715000
2017,DEER PARK,594819.42
2017,DELAHEY,538944.44
2017,DERRIMUT,753000
2017,DIAMOND CREEK,777423.08
2017,DIGGERS REST,482333.33
2017,DINGLEY VILLAGE,898158.7
2017,DOCKLANDS,696666.67
2017,DONCASTER,1270182.47
2017,DONCASTER EAST,1335006.97
2017,DONVALE,1235560.67
2017,DOREEN,494500
2017,DOVETON,490530.27
2017,EAGLEMONT,1863826.67
2017,EAST MELBOURNE,1313108.7
2017,EDITHVALE,927400
2017,ELSTERNWICK,1249114.31
2017,ELTHAM,882189.82
2017,ELTHAM NORTH,894027.59
2017,ELWOOD,1003735.24
2017,EMERALD,655000
2017,ENDEAVOUR HILLS,670250
2017,EPPING,571891.65
2017,ESSENDON,1086658.22
2017,ESSENDON NORTH,892416.68
2017,ESSENDON WEST,1259948
2017,FAIRFIELD,1141342.75
2017,FAWKNER,688855.48
2017,FERNTREE GULLY,822403.14
2017,FITZROY,1383749.05
2017,FITZROY NORTH,1248361.61
2017,FLEMINGTON,881997.8
2017,FOOTSCRAY,693239.24
2017,FOREST HILL,975801.37
2017,FRANKSTON,650000.09
2017,FRANKSTON NORTH,512500
2017,FRANKSTON SOUTH,1091595.56
2017,GARDENVALE,1250000
2017,GISBORNE,623152.75
2017,GLADSTONE PARK,659492
2017,GLEN HUNTLY,666880.55
2017,GLEN IRIS,1628148.41
2017,GLEN WAVERLEY,1346847.7
2017,GLENROY,689086.36
2017,GOWANBRAE,781266.67
2017,GREENSBOROUGH,825871.37
2017,GREENVALE,737095
2017,HADFIELD,738836.03
2017,HALLAM,780900
2017,HAMPTON,1659735.85
2017,HAMPTON EAST,1043428.97
2017,HAMPTON PARK,579785.71
2017,HAWTHORN,1428425.54
2017,HAWTHORN EAST,1533476.93
2017,HEALESVILLE,650000
2017,HEATHMONT,960875
2017,HEIDELBERG,934101.95
2017,HEIDELBERG HEIGHTS,792785.3
2017,HEIDELBERG WEST,678904.17
2017,HIGHETT,1165100.45
2017,HILLSIDE,653652.9
2017,HOPPERS CROSSING,549979.07
2017,HUGHESDALE,1076149.52
2017,HUNTINGDALE,1064828.57
2017,HURSTBRIDGE,790000
2017,IVANHOE,1332689.17
2017,IVANHOE EAST,1866328.09
2017,JACANA,551908
2017,KEALBA,639101.11
2017,KEILOR,793961.54
2017,KEILOR DOWNS,659764.04
2017,KEILOR EAST,880817.08
2017,KEILOR LODGE,660000
2017,KEILOR PARK,728733.33
2017,KENSINGTON,822097.14
2017,KEW,1868142.17
2017,KEW EAST,1693555.96
2017,KEYSBOROUGH,817125
2017,KILSYTH,758500
2017,KINGS PARK,550240
2017,KINGSBURY,737250.08
2017,KINGSVILLE,843744.04
2017,KNOXFIELD,953400
2017,KOOYONG,1622309.57
2017,KURUNJANG,351583.33
2017,LALOR,628992.92
2017,LANGWARRIN,631936.36
2017,LOWER PLENTY,835750
2017,MAIDSTONE,701839.23
2017,MALVERN,2072348.1
2017,MALVERN EAST,1623039.71
2017,MARIBYRNONG,879975.11
2017,MCKINNON,1372021.9
2017,MEADOW HEIGHTS,485168.52
2017,MELBOURNE,749883
2017,MELTON,415676.74
2017,MELTON SOUTH,376257.39
2017,MELTON WEST,431768.93
2017,MENTONE,963688.1
2017,MERNDA,616646.11
2017,MICKLEHAM,530000
2017,MIDDLE PARK,2305613.85
2017,MILL PARK,644663.06
2017,MITCHAM,982306.87
2017,MONT ALBERT,1695305.46
2017,MONTMORENCY,863451.14
2017,MONTROSE,735000
2017,MOONEE PONDS,1158885.94
2017,MOORABBIN,1070446.14
2017,MOOROOLBARK,744906.72
2017,MORDIALLOC,1008038.09
2017,MOUNT EVELYN,567500
2017,MOUNT WAVERLEY,1378067.15
2017,MULGRAVE,1152426.02
2017,MURRUMBEENA,1031176.17
2017,NARRE WARREN,648930.53
2017,NEW GISBORNE,690000
2017,NEWPORT,1077277.02
2017,NIDDRIE,1047702.94
2017,NOBLE PARK,642815.76
2017,NORTH MELBOURNE,959181.61
2017,NORTH WARRANDYTE,1226000
2017,NORTHCOTE,1218103.37
2017,NOTTING HILL,1076200
2017,NUNAWADING,1008626.34
2017,OAK PARK,885451.04
2017,OAKLEIGH,1248566.24
2017,OAKLEIGH EAST,1034711.13
2017,OAKLEIGH SOUTH,1057465.53
2017,OFFICER,559000
2017,ORMOND,1128204.44
2017,PAKENHAM,488200
2017,PARKDALE,1111052.11
2017,PARKVILLE,1277328.24
2017,PASCOE VALE,782882.07
2017,PATTERSON LAKES,670000
2017,PLUMPTON,625500
2017,POINT COOK,656681
2017,PORT MELBOURNE,1346108.91
2017,PRAHRAN,1180454.22
2017,PRESTON,885267.44
2017,PRINCES HILL,1758666.67
2017,RESERVOIR,730628.29
2017,RICHMOND,1104342.42
2017,RIDDELLS CREEK,892250
2017,RINGWOOD,927869.88
2017,RINGWOOD EAST,941326.09
2017,RINGWOOD NORTH,939333.29
2017,RIPPONLEA,687350
2017,ROSANNA,1027508.68
2017,ROWVILLE,912740.32
2017,ROXBURGH PARK,498743.45
2017,SANDHURST,655000
2017,SANDRINGHAM,1565764.78
2017,SCORESBY,952790.91
2017,SEABROOK,593333.33
2017,SEAFORD,703615.96
2017,SEAHOLME,1680000
2017,SEDDON,1033096.77
2017,SKYE,597849
2017,SOUTH KINGSVILLE,785447.93
2017,SOUTH MELBOURNE,1421036.33
2017,SOUTH MORANG,628938.74
2017,SOUTH YARRA,1059699.61
2017,SOUTHBANK,565984.63
2017,SPOTSWOOD,903068.35
2017,SPRINGVALE,751041.67
2017,SPRINGVALE SOUTH,725000
2017,ST ALBANS,588581.27
2017,ST HELENA,1029666.67
2017,ST KILDA,938731.31
2017,STRATHMORE,1200848.45
2017,STRATHMORE HEIGHTS,1000000
2017,SUNBURY,525885.77
2017,SUNSHINE,765777.25
2017,SUNSHINE NORTH,632381.67
2017,SUNSHINE WEST,602583.11
2017,SURREY HILLS,1643465.67
2017,SYDENHAM,584733.33
2017,TARNEIT,522379.27
2017,TAYLORS HILL,652272.73
2017,TAYLORS LAKES,710252.84
2017,TEMPLESTOWE,1524640.58
2017,TEMPLESTOWE LOWER,1228952.88
2017,THE BASIN,584550
2017,THOMASTOWN,618947.7
2017,THORNBURY,1051491.35
2017,TOORAK,1850952.71
2017,TRAVANCORE,906875
2017,TRUGANINA,521002.2
2017,TULLAMARINE,574724.5
2017,VERMONT,1017800.05
2017,VERMONT SOUTH,1191813.88
2017,VIEWBANK,1042133.58
2017,WALLAN,366000
2017,WANTIRNA,941047.73
2017,WANTIRNA SOUTH,1078376.08
2017,WARRANDYTE,1132000
2017,WATERWAYS,1248500
2017,WATSONIA,797308
2017,WATSONIA NORTH,764474.43
2017,WERRIBEE,521862.21
2017,WEST FOOTSCRAY,761312.62
2017,WEST MELBOURNE,1060235.28
2017,WESTMEADOWS,592876.91
2017,WHEELERS HILL,1258392.71
2017,WHITTLESEA,520500
2017,WILLIAMS LANDING,555000
2017,WILLIAMSTOWN,1354501.73
2017,WILLIAMSTOWN NORTH,1020250
2017,WINDSOR,1133404.4
2017,WOLLERT,536150.94
2017,WYNDHAM VALE,531949.65
2017,YALLAMBIE,920163.89
2017,YARRA GLEN,620000
2017,YARRAVILLE,997881.97
