Geography,Suburb,Year,Value
Carlton,CARLTON,2020,22942
Carlton,CARLTON,2021,22294
Carlton,CARLTON,2022,22850
Carlton,CARLTON,2023,24055
Carlton,CARLTON,2024,25038
Carlton,CARLTON,2025,25288
Carlton,CARLTON,2026,25509
Carlton,CARLTON,2027,26440
Carlton,CARLTON,2028,27270
Carlton,CARLTON,2029,28056
Carlton,CARLTON,2030,28884
Carlton,CARLTON,2031,29685
Carlton,CARLTON,2032,30642
Carlton,CARLTON,2033,31455
Carlton,CARLTON,2034,32199
Carlton,CARLTON,2035,32876
Carlton,CARLTON,2036,33197
Carlton,CARLTON,2037,33384
Carlton,CARLTON,2038,33611
Carlton,CARLTON,2039,33770
Carlton,CARLTON,2040,33929
Docklands,DOCKLANDS,2020,16035
Docklands,DOCKLANDS,2021,15869
Docklands,DOCKLANDS,2022,16509
Docklands,DOCKLANDS,2023,17428
Docklands,DOCKLANDS,2024,18181
Docklands,DOCKLANDS,2025,18980
Docklands,DOCKLANDS,2026,19804
Docklands,DOCKLANDS,2027,20549
Docklands,DOCKLANDS,2028,21375
Docklands,DOCKLANDS,2029,22196
Docklands,DOCKLANDS,2030,23033
Docklands,DOCKLANDS,2031,23819
Docklands,DOCKLANDS,2032,24684
Docklands,DOCKLANDS,2033,25451
Docklands,DOCKLANDS,2034,26231
Docklands,DOCKLANDS,2035,27099
Docklands,DOCKLANDS,2036,27981
Docklands,DOCKLANDS,2037,28955
Docklands,DOCKLANDS,2038,29830
Docklands,DOCKLANDS,2039,30576
Docklands,DOCKLANDS,2040,31361
East Melbourne,EAST MELBOURNE,2020,6190
East Melbourne,EAST MELBOURNE,2021,6111
East Melbourne,EAST MELBOURNE,2022,6314
East Melbourne,EAST MELBOURNE,2023,6676
East Melbourne,EAST MELBOURNE,2024,6981
East Melbourne,EAST MELBOURNE,2025,7299
East Melbourne,EAST MELBOURNE,2026,7557
East Melbourne,EAST MELBOURNE,2027,7669
East Melbourne,EAST MELBOURNE,2028,7745
East Melbourne,EAST MELBOURNE,2029,7814
East Melbourne,EAST MELBOURNE,2030,7866
East Melbourne,EAST MELBOURNE,2031,7951
East Melbourne,EAST MELBOURNE,2032,8033
East Melbourne,EAST MELBOURNE,2033,8099
East Melbourne,EAST MELBOURNE,2034,8165
East Melbourne,EAST MELBOURNE,2035,8223
East Melbourne,EAST MELBOURNE,2036,8283
East Melbourne,EAST MELBOURNE,2037,8336
East Melbourne,EAST MELBOURNE,2038,8398
East Melbourne,EAST MELBOURNE,2039,8443
East Melbourne,EAST MELBOURNE,2040,8491
Kensington,KENSINGTON,2020,11282
Kensington,KENSINGTON,2021,11293
Kensington,KENSINGTON,2022,11620
Kensington,KENSINGTON,2023,12274
Kensington,KENSINGTON,2024,12733
Kensington,KENSINGTON,2025,13135
Kensington,KENSINGTON,2026,13691
Kensington,KENSINGTON,2027,14329
Kensington,KENSINGTON,2028,15008
Kensington,KENSINGTON,2029,15647
Kensington,KENSINGTON,2030,16322
Kensington,KENSINGTON,2031,16780
Kensington,KENSINGTON,2032,17064
Kensington,KENSINGTON,2033,17284
Kensington,KENSINGTON,2034,17530
Kensington,KENSINGTON,2035,17831
Kensington,KENSINGTON,2036,18145
Kensington,KENSINGTON,2037,18510
Kensington,KENSINGTON,2038,18827
Kensington,KENSINGTON,2039,19457
Kensington,KENSINGTON,2040,19785
Melbourne,MELBOURNE,2020,58366
Melbourne,MELBOURNE,2021,58994
Melbourne,MELBOURNE,2022,60739
Melbourne,MELBOURNE,2023,63920
Melbourne,MELBOURNE,2024,66942
Melbourne,MELBOURNE,2025,70093
Melbourne,MELBOURNE,2026,72950
Melbourne,MELBOURNE,2027,75757
Melbourne,MELBOURNE,2028,78319
Melbourne,MELBOURNE,2029,80829
Melbourne,MELBOURNE,2030,83200
Melbourne,MELBOURNE,2031,85474
Melbourne,MELBOURNE,2032,87810
Melbourne,MELBOURNE,2033,89950
Melbourne,MELBOURNE,2034,92079
Melbourne,MELBOURNE,2035,94162
Melbourne,MELBOURNE,2036,96320
Melbourne,MELBOURNE,2037,98515
Melbourne,MELBOURNE,2038,100728
Melbourne,MELBOURNE,2039,102616
Melbourne,MELBOURNE,2040,104606
North Melbourne,NORTH MELBOURNE,2020,17534
North Melbourne,NORTH MELBOURNE,2021,17137
North Melbourne,NORTH MELBOURNE,2022,17591
North Melbourne,NORTH MELBOURNE,2023,18541
North Melbourne,NORTH MELBOURNE,2024,19753
North Melbourne,NORTH MELBOURNE,2025,21615
North Melbourne,NORTH MELBOURNE,2026,23123
North Melbourne,NORTH MELBOURNE,2027,24112
North Melbourne,NORTH MELBOURNE,2028,25456
North Melbourne,NORTH MELBOURNE,2029,26865
North Melbourne,NORTH MELBOURNE,2030,27945
North Melbourne,NORTH MELBOURNE,2031,29165
North Melbourne,NORTH MELBOURNE,2032,29776
North Melbourne,NORTH MELBOURNE,2033,30668
North Melbourne,NORTH MELBOURNE,2034,31504
North Melbourne,NORTH MELBOURNE,2035,32612
North Melbourne,NORTH MELBOURNE,2036,33677
North Melbourne,NORTH MELBOURNE,2037,34422
North Melbourne,NORTH MELBOURNE,2038,35042
North Melbourne,NORTH MELBOURNE,2039,35935
North Melbourne,NORTH MELBOURNE,2040,36683
Parkville,PARKVILLE,2020,10593
Parkville,PARKVILLE,2021,10246
Parkville,PARKVILLE,2022,10572
Parkville,PARKVILLE,2023,11203
Parkville,PARKVILLE,2024,11654
Parkville,PARKVILLE,2025,11894
Parkville,PARKVILLE,2026,12160
Parkville,PARKVILLE,2027,12438
Parkville,PARKVILLE,2028,12726
Parkville,PARKVILLE,2029,12989
Parkville,PARKVILLE,2030,13224
Parkville,PARKVILLE,2031,13467
Parkville,PARKVILLE,2032,13701
Parkville,PARKVILLE,2033,13923
Parkville,PARKVILLE,2034,14143
Parkville,PARKVILLE,2035,14364
Parkville,PARKVILLE,2036,14584
Parkville,PARKVILLE,2037,14786
Parkville,PARKVILLE,2038,14989
Parkville,PARKVILLE,2039,15181
Parkville,PARKVILLE,2040,15385
Port Melbourne,PORT MELBOURNE,2020,2
Port Melbourne,PORT MELBOURNE,2021,2
Port Melbourne,PORT MELBOURNE,2022,2
Port Melbourne,PORT MELBOURNE,2023,2
Port Melbourne,PORT MELBOURNE,2024,3
Port Melbourne,PORT MELBOURNE,2025,3
Port Melbourne,PORT MELBOURNE,2026,402
Port Melbourne,PORT MELBOURNE,2027,684
Port Melbourne,PORT MELBOURNE,2028,935
Port Melbourne,PORT MELBOURNE,2029,1200
Port Melbourne,PORT MELBOURNE,2030,1573
Port Melbourne,PORT MELBOURNE,2031,1909
Port Melbourne,PORT MELBOURNE,2032,2269
Port Melbourne,PORT MELBOURNE,2033,2624
Port Melbourne,PORT MELBOURNE,2034,2981
Port Melbourne,PORT MELBOURNE,2035,3350
Port Melbourne,PORT MELBOURNE,2036,3724
Port Melbourne,PORT MELBOURNE,2037,4148
Port Melbourne,PORT MELBOURNE,2038,4496
Port Melbourne,PORT MELBOURNE,2039,4813
Port Melbourne,PORT MELBOURNE,2040,5147
South Yarra,SOUTH YARRA,2020,4711
South Yarra,SOUTH YARRA,2021,4653
South Yarra,SOUTH YARRA,2022,4796
South Yarra,SOUTH YARRA,2023,5065
South Yarra,SOUTH YARRA,2024,5252
South Yarra,SOUTH YARRA,2025,5437
South Yarra,SOUTH YARRA,2026,5491
South Yarra,SOUTH YARRA,2027,5540
South Yarra,SOUTH YARRA,2028,5579
South Yarra,SOUTH YARRA,2029,5615
South Yarra,SOUTH YARRA,2030,5638
South Yarra,SOUTH YARRA,2031,5689
South Yarra,SOUTH YARRA,2032,5740
South Yarra,SOUTH YARRA,2033,5776
South Yarra,SOUTH YARRA,2034,5813
South Yarra,SOUTH YARRA,2035,5842
South Yarra,SOUTH YARRA,2036,5876
South Yarra,SOUTH YARRA,2037,5905
South Yarra,SOUTH YARRA,2038,5942
South Yarra,SOUTH YARRA,2039,5965
South Yarra,SOUTH YARRA,2040,5989
Southbank,SOUTHBANK,2020,27839
Southbank,SOUTHBANK,2021,27826
Southbank,SOUTHBANK,2022,30580
Southbank,SOUTHBANK,2023,32234
Southbank,SOUTHBANK,2024,33544
Southbank,SOUTHBANK,2025,34843
Southbank,SOUTHBANK,2026,36034
Southbank,SOUTHBANK,2027,37303
Southbank,SOUTHBANK,2028,38454
Southbank,SOUTHBANK,2029,39580
Southbank,SOUTHBANK,2030,40646
Southbank,SOUTHBANK,2031,41719
Southbank,SOUTHBANK,2032,42744
Southbank,SOUTHBANK,2033,43661
Southbank,SOUTHBANK,2034,44559
Southbank,SOUTHBANK,2035,45440
Southbank,SOUTHBANK,2036,46375
Southbank,SOUTHBANK,2037,47343
Southbank,SOUTHBANK,2038,48339
Southbank,SOUTHBANK,2039,49173
Southbank,SOUTHBANK,2040,50041
West Melbourne,WEST MELBOURNE,2020,8262
West Melbourne,WEST MELBOURNE,2021,8310
West Melbourne,WEST MELBOURNE,2022,8585
West Melbourne,WEST MELBOURNE,2023,9067
West Melbourne,WEST MELBOURNE,2024,9522
West Melbourne,WEST MELBOURNE,2025,10083
West Melbourne,WEST MELBOURNE,2026,10917
West Melbourne,WEST MELBOURNE,2027,11690
West Melbourne,WEST MELBOURNE,2028,12420
West Melbourne,WEST MELBOURNE,2029,13149
West Melbourne,WEST MELBOURNE,2030,13911
West Melbourne,WEST MELBOURNE,2031,14528
West Melbourne,WEST MELBOURNE,2032,15327
West Melbourne,WEST MELBOURNE,2033,16149
West Melbourne,WEST MELBOURNE,2034,16780
West Melbourne,WEST MELBOURNE,2035,16857
West Melbourne,WEST MELBOURNE,2036,16928
West Melbourne,WEST MELBOURNE,2037,16986
West Melbourne,WEST MELBOURNE,2038,17070
West Melbourne,WEST MELBOURNE,2039,17111
West Melbourne,WEST MELBOURNE,2040,17156
South Wharf,SOUTH WHARF,2020,0
South Wharf,SOUTH WHARF,2021,0
South Wharf,SOUTH WHARF,2022,0
South Wharf,SOUTH WHARF,2023,0
South Wharf,SOUTH WHARF,2024,0
South Wharf,SOUTH WHARF,2025,0
South Wharf,SOUTH WHARF,2026,0
South Wharf,SOUTH WHARF,2027,0
South Wharf,SOUTH WHARF,2028,0
South Wharf,SOUTH WHARF,2029,0
South Wharf,SOUTH WHARF,2030,0
South Wharf,SOUTH WHARF,2031,0
South Wharf,SOUTH WHARF,2032,0
South Wharf,SOUTH WHARF,2033,0
South Wharf,SOUTH WHARF,2034,0
South Wharf,SOUTH WHARF,2035,0
South Wharf,SOUTH WHARF,2036,0
South Wharf,SOUTH WHARF,2037,0
South Wharf,SOUTH WHARF,2038,0
South Wharf,SOUTH WHARF,2039,0
South Wharf,SOUTH WHARF,2040,0